ID,WEEK,Z1,Z2,Z3,Z4,Z5,Z6,Z6A,Z6AA,Z6AB,Z6B,Z6C,Z6D,Z7,Z8,Z9,Z9A,Z9AA,Z10,Z10A,Z11,Z11A,Z12,SEX,METRO,REGION,HWEIGHT,WEIGHT,STATE,AW1,AW2,AW3,AW4,AW5A,AW5B,AW6,AW6A,AW7,AW8,AW9,AW9A,AW9A2
1,933,1,2,1,3,2,4,2,1,1,1,1,0,31,2,5,,,2,,1,3,0,2,2,3,0.587,1.401,28,2,,,,,,,,,2,2,,2
2,933,1,1,1,3,3,1,,0,1,,,,23,4,2,,,2,,1,1,0,2,1,3,1.666,2.894,47,2,,,,,,,,,3,3,,
3,933,1,2,2,3,1,2,2,1,1,,,,75,1,2,,,2,,1,2,0,1,1,2,2.572,5.168,26,2,,,,,,,,,2,1,1,
4,933,2,4,1,3,3,2,2,1,1,,,,50,3,3,,,2,,2,2,0,2,1,2,1.682,2.939,20,2,,,,,,,,,2,3,,
5,933,1,5,1,1,,2,1,0,1,1,0,0,42,3,6,,,2,,1,2,0,2,1,2,1.78,1.555,29,1,2,5,2,,1,,2,2,3,3,,
6,933,1,5,1,3,4,1,,1,0,,,,34,2,1,,,2,,1,1,0,1,2,2,0.539,0.522,18,1,9,4,8,,,2,2,1,2,3,,
7,933,1,2,2,1,,6,2,1,1,0,1,3,37,4,7,,,2,,2,3,0,2,1,1,1.075,2.085,42,1,3,8,8,,,8,8,2,3,3,,
8,933,1,2,1,3,4,3,3,1,2,,,,49,2,4,,,2,,1,1,0,2,2,3,0.358,1.624,45,1,1,5,8,,,9,8,1,3,8,,
9,933,1,2,1,1,,2,2,1,1,,,,35,4,7,,,2,,1,3,0,2,1,3,0.589,1.108,10,2,,,,,,,,,2,3,,
10,933,2,2,1,3,2,2,2,1,1,,,,25,2,5,,,2,,1,3,0,2,1,2,0.84,1.687,26,1,4,5,2,,1,,2,7,2,3,,
11,933,1,1,1,1,,1,,1,0,,,,34,4,6,,,2,,1,3,0,1,2,4,0.536,0.533,41,2,,,,,,,,,2,2,,2
12,933,1,2,1,1,,2,2,1,1,,,,52,4,9,,2,2,,1,1,0,1,1,1,0.664,1.288,42,1,3,5,1,2,,,1,1,3,3,,
13,933,1,2,1,2,,5,2,1,1,0,0,3,29,2,6,,,2,,1,3,0,2,2,2,0.759,1.471,26,2,,,,,,,,,9,3,,
14,933,1,2,1,1,,2,2,1,1,,,,46,2,7,,,2,,1,2,0,1,1,1,0.819,1.588,36,2,,,,,,,,,1,3,,
15,933,2,1,1,1,,1,,1,0,,,,25,5,6,,,2,,1,3,0,1,1,3,0.541,0.508,12,2,,,,,,,,,1,3,,
16,933,1,1,1,2,,1,,1,0,,,,47,3,6,,,2,,1,1,0,1,2,3,0.465,0.527,51,2,,,,,,,,,3,1,8,
