ID,WEEK,Z1,Z2,Z3,Z4,Z5,Z6,Z6A,Z6AA,Z6AB,Z6B,Z6C,Z6D,Z7,Z8,Z9,Z9A,Z9AA,Z10,Z10A,Z11,Z11A,Z12,SEX,METRO,REGION,HWEIGHT,PWEIGHT,STATE,AW1,AW2,AW3,AW4,AW5A,AW5B,AW6,AW6A,AW7,AW8,AW9,AW10A,AW10B
1,833,1,1,2,1,,8,8,6,2,,,,18,2,1,,,2,,1,1,0,1,1,1,0.666,2.628,9,1,3,5,1,1,,,1,1,2,3,,
2,833,2,2,1,3,1,2,2,1,1,,,,63,2,2,,,2,,1,1,0,2,1,1,0.653,1.203,42,1,2,5,9,,,9,9,1,8,9,,
3,833,1,1,2,3,4,5,5,3,2,,,,23,2,8,,,2,,1,2,0,1,2,2,0.697,2.461,19,2,,,,,,,,,2,3,,
4,833,2,4,1,3,1,1,,0,1,,,,83,1,1,,,2,,1,1,0,2,2,2,2.855,5.04,20,1,8,5,1,8,,,1,1,1,3,,
5,833,1,4,1,3,1,1,,1,0,,,,65,1,3,,,2,,1,3,0,1,2,3,1.495,1.766,21,1,3,5,1,2,,,3,1,1,1,1,
6,833,2,5,1,1,,2,2,1,1,,,,52,2,5,,,2,,2,1,0,1,1,1,1.414,2.605,36,1,4,5,1,1,,,1,1,1,1,2,
7,833,1,1,2,1,,3,3,2,1,,,,19,2,99,9,,2,,1,2,0,1,2,2,0.421,1.796,17,1,3,5,2,,1,,2,7,1,3,,
8,833,1,5,1,1,,1,,1,0,,,,63,3,8,,,2,,1,3,0,1,1,3,2.09,1.721,48,1,3,5,8,,,2,3,1,1,2,,2
9,833,2,2,1,3,4,3,3,2,1,,,,40,2,3,,,2,,1,3,1,2,2,2,0.452,0.798,20,2,,,,,,,,,2,3,,
10,833,2,2,2,2,,7,5,2,3,0,0,2,24,2,9,,2,2,,1,3,0,2,1,2,0.741,2.771,17,2,,,,,,,,,2,2,,1
11,833,1,2,1,1,,2,2,1,1,,,,46,4,9,,2,2,,1,3,1,1,1,2,0.701,1.059,27,1,3,5,1,2,,,1,1,1,3,,
13,833,2,2,1,3,2,3,2,1,1,0,0,1,22,2,1,,,2,,1,2,0,2,2,3,0.469,1.096,12,2,,,,,,,,,2,2,,2
14,833,1,2,1,1,,6,4,2,2,0,1,1,30,2,6,,,2,,1,3,0,1,2,2,1.138,4.017,19,2,,,,,,,,,1,3,,
15,833,1,2,1,1,,3,2,1,1,0,0,1,32,4,8,,,2,,1,2,0,1,1,3,1.482,2.44,22,1,4,4,2,,1,,2,1,2,3,,
16,833,1,2,1,3,2,2,2,1,1,,,,53,1,2,,,2,,1,3,0,2,2,3,2.282,5.391,21,2,,,,,,,,,1,3,,
17,833,2,1,1,2,,2,1,0,1,0,0,1,18,2,2,,,2,,2,2,0,2,1,3,1.181,1.19,12,2,,,,,,,,,2,3,,
18,833,1,2,1,3,1,2,2,1,1,,,,71,2,99,9,,2,,1,1,0,1,1,1,0.629,1.242,23,1,4,5,8,,,1,3,1,1,2,,2
19,833,2,1,1,2,,1,,0,1,,,,72,1,1,,,2,,1,2,0,2,2,3,2.377,4.88,40,1,4,5,2,,1,,2,1,1,3,,
20,833,2,2,1,1,,3,2,1,1,0,0,1,27,3,3,,,1,9,,2,0,1,1,3,2.242,3.691,48,2,,,,,,,,,8,3,,
21,833,1,2,1,1,,2,2,1,1,,,,23,2,5,,,2,,1,2,0,1,2,3,0.422,0.996,47,2,,,,,,,,,1,3,,
22,833,1,2,1,3,3,5,2,1,1,0,1,2,26,2,3,,,2,,1,1,0,2,1,3,0.901,1.816,37,1,4,5,1,1,,,1,1,1,3,,
23,833,1,2,1,1,,2,2,1,1,,,,53,2,8,,,2,,1,2,0,1,1,3,1.59,2.618,48,1,3,5,2,,1,,3,2,8,2,,2
24,833,1,2,1,1,,7,2,1,1,4,1,0,43,1,2,,,2,,1,1,0,2,1,3,3.525,5.807,22,1,3,5,1,1,,,1,1,8,3,,
25,833,1,2,1,1,,3,3,2,1,,,,44,3,6,,,2,,1,3,0,1,1,2,0.606,2.266,55,1,3,5,2,,1,,2,2,9,3,,
26,833,2,1,1,1,,2,2,1,1,,,,25,2,8,,,2,,1,3,0,2,2,1,1.188,2.477,23,2,,,,,,,,,2,2,,2
27,833,1,1,2,2,,3,3,2,1,,,,18,2,6,,,2,,1,1,0,1,1,1,0.664,2.445,42,1,3,5,2,,2,,2,7,1,3,,
28,833,1,2,1,1,,3,2,1,1,0,1,0,42,3,8,,,2,,1,3,0,2,1,2,0.668,1.249,26,1,3,5,2,,1,,2,8,8,2,,2
29,833,2,1,1,3,3,3,2,0,2,1,0,0,41,3,99,2,,2,,1,2,2,2,1,2,0.334,0.624,39,1,3,5,2,,2,,2,2,2,2,,1
30,833,1,2,2,3,4,4,4,2,2,,,,18,2,9,,1,2,,2,3,0,1,2,3,0.674,3.183,28,2,,,,,,,,,2,1,2,
31,833,1,2,1,1,,3,3,2,1,,,,56,3,4,,,2,,2,2,0,2,1,1,1.044,1.924,36,1,3,3,2,,1,,2,1,1,3,,
32,833,1,1,1,1,,3,2,1,1,0,1,0,51,2,1,,,2,,2,2,1,2,2,3,0.376,0.878,45,1,4,5,2,,1,,2,2,1,3,,
33,833,1,2,1,2,,3,2,1,1,0,0,1,19,2,4,,,2,,1,0,0,2,2,2,1.002,1.77,46,2,,,,,,,,,1,3,,
34,833,9,2,1,1,,2,2,1,1,,,,58,1,4,,,2,,1,2,0,1,2,3,2.824,5.797,48,2,,,,,,,,,1,3,,
35,833,2,1,1,1,,1,,0,1,,,,31,2,4,,,2,,1,1,0,2,1,1,1.163,2.142,42,2,,,,,,,,,2,2,,2
36,833,1,2,1,1,,3,2,1,1,0,1,0,40,3,8,,,2,,1,1,0,1,1,3,0.604,1.219,13,1,4,5,1,1,,,1,1,2,3,,
37,833,1,2,1,1,,2,2,1,1,,,,29,4,8,,,2,,1,1,0,2,1,1,0.885,1.632,36,1,3,5,2,,2,,3,1,2,3,,
38,833,1,1,2,3,3,3,3,1,2,,,,35,4,99,9,,2,,1,3,1,2,1,3,0.254,1.023,51,1,4,5,2,,2,,2,2,1,3,,
39,833,1,2,1,2,,4,3,2,1,1,0,0,45,2,5,,,2,,1,2,0,2,2,3,0.471,1.1,37,1,4,5,2,,1,,8,7,2,3,,
40,833,1,2,1,2,,2,2,1,1,,,,58,4,9,,1,2,,1,1,0,1,1,3,0.686,1.384,24,1,3,5,2,,2,,2,1,1,2,,2
41,833,2,2,1,1,,2,2,1,1,,,,25,3,4,,,2,,1,3,0,1,1,4,1.235,2.04,49,1,2,3,1,2,,,3,1,1,3,,
42,833,1,4,1,3,1,1,,1,0,,,,64,3,9,,2,2,,1,3,0,1,1,3,0.901,0.908,12,1,2,5,2,,1,,2,1,1,2,,2
43,833,2,2,1,1,,2,2,1,1,,,,27,4,6,,,2,,1,1,0,2,1,3,1.591,2.62,22,1,2,5,1,2,,,3,1,1,3,,
44,833,1,1,1,1,,2,2,1,1,,,,28,4,6,,,2,,1,1,0,1,2,3,0.406,0.948,13,1,4,1,7,,,7,3,1,1,3,,
45,833,2,5,1,1,,3,3,3,0,,,,35,3,8,,,2,,2,2,1,1,1,2,0.484,0.905,17,2,,,,,,,,,1,3,,
46,833,1,2,1,1,,4,3,2,1,1,0,0,37,2,7,,,2,,1,1,0,2,2,3,0.546,1.291,1,1,2,4,1,1,,,1,7,1,3,,
47,833,2,2,1,3,1,2,2,1,1,,,,65,1,2,,,2,,5,2,0,1,1,3,1.821,3.673,12,1,1,5,2,,2,,2,2,1,3,,
48,833,1,2,1,2,,3,2,1,1,0,0,1,23,2,4,,,2,,1,2,0,2,1,2,0.741,1.386,17,1,3,4,1,2,,,1,7,1,1,1,
49,833,1,2,1,3,1,2,2,1,1,,,,66,3,7,,,2,,1,3,0,1,1,3,1.126,1.855,48,1,4,5,2,,2,,3,1,1,2,,2
50,833,1,3,1,1,,1,,1,0,,,,32,5,8,,,1,1,,1,0,1,1,3,0.639,0.644,24,1,4,4,1,1,,,1,1,2,2,,2
51,833,1,5,1,1,,1,,1,0,,,,55,2,7,,,2,,1,2,0,1,1,4,1.327,1.097,8,1,4,5,0,,,0,0,1,1,3,,
52,833,1,2,1,3,1,2,2,1,1,,,,74,2,4,,,2,,1,2,1,1,1,1,0.313,0.578,34,1,4,5,2,,1,,2,2,1,2,,2
53,833,1,1,1,1,,3,1,0,1,0,2,0,35,3,5,,,2,,1,3,0,2,1,2,1.787,1.351,29,1,4,5,1,2,,,3,1,1,3,,
54,833,2,2,1,3,5,4,2,1,1,0,1,1,41,1,1,,,2,,1,3,0,1,1,3,2.265,4.569,51,2,,,,,,,,,1,3,,
55,833,1,2,1,1,,4,3,2,1,1,0,0,40,4,8,,,2,,1,3,1,1,1,1,0.297,1.095,34,1,3,4,2,,2,,3,2,1,2,,2
56,833,2,2,1,3,4,5,2,1,1,2,1,0,48,1,2,,,2,,2,2,0,1,2,3,2.494,5.823,45,2,,,,,,,,,2,2,,2
57,833,2,3,1,1,,4,1,0,1,1,2,0,31,4,9,,8,1,1,,0,0,2,1,1,0.889,0.877,25,1,4,1,1,1,,,2,1,1,8,,
58,833,1,2,1,3,1,3,3,2,1,,,,68,3,5,,,2,,1,1,0,1,1,2,0.487,1.821,26,1,4,5,2,,1,,3,1,1,2,,1
59,833,1,2,1,2,,2,2,1,1,,,,50,3,4,,,2,,1,1,0,2,1,3,0.741,1.494,24,1,3,5,1,2,,,1,1,1,1,1,
60,833,1,2,1,1,,4,2,1,1,0,0,2,24,3,3,,,2,,1,2,0,1,2,2,0.697,1.23,29,1,3,5,2,,1,,3,1,2,3,,
61,833,2,1,1,3,5,3,1,0,1,0,0,2,28,2,8,,,2,,1,3,0,2,1,1,1.163,1.071,36,2,,,,,,,,,1,3,,
62,833,1,2,1,3,2,3,2,1,1,1,0,0,38,2,7,,,2,,1,1,0,2,2,3,0.546,1.291,1,1,2,5,1,1,,,1,1,1,3,,
63,833,1,2,1,1,,3,2,1,1,1,0,0,54,2,7,,,2,,1,1,0,1,2,4,0.72,1.501,4,2,,,,,,,,,2,3,,
64,833,1,5,1,2,,4,2,1,1,0,2,0,29,2,5,,,2,,2,3,0,2,1,2,1.442,2.697,26,1,2,5,2,,1,,3,2,2,3,,
65,833,1,2,1,1,,3,3,2,1,,,,55,1,3,,,2,,2,2,1,1,1,3,1.465,5.911,37,1,4,5,2,,1,,2,8,2,2,,2
66,833,1,2,1,3,2,4,4,3,1,,,,52,3,8,,,2,,1,2,0,2,1,4,1.092,1.803,8,1,4,5,2,,2,,2,2,2,2,,2
67,833,1,2,1,3,1,2,2,1,1,,,,64,5,8,,,2,,1,1,0,1,1,4,1.011,1.67,4,1,4,5,2,,1,,7,1,1,3,,
68,833,1,1,1,1,,3,2,1,1,1,0,0,34,2,2,,,2,,1,3,0,2,1,4,1.327,2.191,35,1,4,5,2,,1,,3,7,8,3,,
