ID,WEEK,Z1,Z2,Z3,Z4,Z5,Z6,Z6A,Z6AA,Z6AB,Z6B,Z6C,Z6D,Z7,Z8,Z9,Z9A,Z9AA,Z10,Z10A,Z11,Z11A,Z12,SEX,METRO,REGION,HWEIGHT,WEIGHT,STATE,AW1,AW2,AW3,AW4,AW5A,AW5B,AW6,AW6A,AW7,AW8
1,932,8,1,2,3,5,4,4,1,3,,,,28,2,98,8,,8,,1,8,0,2,1,3,0.984,3.672,1,2,,,,,,,,,2
2,932,1,1,1,1,,1,,0,1,,,,44,5,4,,,2,,1,3,0,2,1,1,0.499,0.969,25,2,,,,,,,,,2
3,932,1,1,2,2,,3,3,2,1,,,,21,3,9,,2,2,,1,3,0,1,1,2,0.644,2.4,17,2,,,,,,,,,2
4,932,1,1,2,1,,2,2,0,2,,,,29,2,4,,,2,,1,3,2,2,1,1,0.426,0.828,25,2,,,,,,,,,3
5,932,9,9,1,9,,9,,,,,,,99,4,99,9,,2,,1,3,9,2,1,1,0.479,0.93,25,9,,,,,,,,,2
6,932,2,1,1,1,,1,,1,0,,,,38,4,6,,,2,,1,1,0,1,1,1,0.488,0.474,25,1,3,4,8,,,8,8,1,3
7,932,1,2,1,2,,2,2,1,1,,,,36,5,9,,2,2,,1,3,0,2,1,2,0.638,1.188,17,1,3,5,2,,2,,2,0,2
8,932,1,2,1,3,2,6,2,1,1,0,3,1,35,4,7,,,2,,1,3,0,2,1,1,0.499,0.969,25,1,3,5,8,,,8,8,2,2
9,932,1,4,1,3,1,1,,0,1,,,,70,3,99,9,,2,,1,1,0,2,1,1,0.446,0.866,25,1,4,5,1,1,,,1,1,3
10,932,1,1,2,1,,3,3,2,1,,,,22,4,8,,,2,,1,3,0,1,1,1,0.503,1.958,25,1,2,5,1,2,,,1,7,3
11,932,2,1,1,1,,1,,0,1,,,,27,5,6,,,2,,1,2,0,2,1,1,0.589,1.145,25,1,3,5,2,,1,,2,2,3
12,932,1,1,2,1,,4,4,2,2,,,,19,3,6,,,2,,1,2,0,1,1,1,0.503,1.958,25,1,3,3,2,,1,,2,7,3
13,932,1,2,1,2,,2,2,1,1,,,,62,4,8,,,2,,1,1,0,1,1,1,0.711,1.382,25,1,4,5,1,1,,,1,1,1
14,932,1,1,1,1,,1,,1,0,,,,27,3,98,8,,2,,1,3,0,1,1,1,0.561,0.545,44,1,4,5,8,,,0,8,2,3
15,932,2,1,1,2,,3,3,1,2,,,,38,3,3,,,2,,9,3,0,1,1,1,0.623,1.211,44,2,,,,,,,,,2
16,932,2,1,1,3,3,2,2,1,1,,,,19,1,1,,,2,,2,3,0,1,1,1,0.738,1.433,44,2,,,,,,,,,2
17,932,2,2,1,3,5,8,2,1,1,7,5,3,34,2,3,,,2,,1,1,1,1,1,1,0.281,0.545,44,2,,,,,,,,,3
18,932,2,4,1,3,1,1,,0,1,,,,87,4,3,,,2,,1,2,0,2,1,1,0.53,1.03,9,2,,,,,,,,,2
19,932,2,2,1,1,,3,2,1,1,0,1,0,28,1,5,,,2,,1,3,0,1,1,1,1.479,2.874,44,1,1,1,2,,2,,3,1,1
20,932,2,5,1,1,,3,3,1,2,,,,43,4,4,,,2,,1,2,0,2,1,1,0.499,1.938,9,1,4,5,2,,1,,2,2,2
21,932,1,1,2,1,,4,4,2,2,,,,28,4,7,,,2,,1,3,0,2,1,1,0.589,2.288,25,2,,,,,,,,,3
22,932,2,5,1,2,,2,2,1,1,,,,24,2,4,,,2,,1,3,0,2,1,1,0.875,1.699,33,2,,,,,,,,,3
23,932,1,2,1,3,2,5,3,2,1,2,0,0,48,3,9,,2,2,,1,3,2,2,1,1,0.284,0.552,9,1,4,5,0,,,1,1,1,2
24,932,1,4,1,1,,2,1,0,1,1,0,0,53,3,99,9,,2,,1,3,0,2,1,1,0.569,0.552,25,1,3,5,2,,1,,2,2,2
25,932,9,1,2,2,,9,,,,,,,18,2,99,8,,2,,2,3,0,1,1,1,0.738,0.717,9,1,3,5,2,,1,,2,7,2
26,932,2,1,1,3,2,3,3,2,1,,,,31,1,1,,,2,,2,2,0,2,1,1,2.877,5.591,33,1,2,3,2,,9,,3,1,2
27,932,2,2,1,1,,2,2,1,1,,,,55,1,7,,,2,,1,2,0,2,1,1,2.202,4.28,9,1,4,5,2,,1,,2,2,2
28,932,2,5,1,1,,3,1,0,1,2,0,0,35,2,2,,,2,,1,2,0,2,2,1,0.65,0.644,23,2,,,,,,,,,3
29,932,1,2,1,1,,4,2,1,1,2,0,0,40,3,7,,,2,,1,3,0,1,2,1,0.491,0.973,23,1,3,5,2,,2,,3,1,2
30,932,1,2,1,3,1,1,,1,0,,,,81,1,99,9,,2,,1,3,0,1,1,1,2.602,2.528,9,1,4,5,2,,1,,2,7,1
31,932,1,2,1,1,,2,2,1,1,,,,74,2,8,,,2,,1,1,0,1,1,1,1.119,2.174,25,1,2,5,1,1,,,3,1,3
32,932,1,4,1,3,2,1,,0,1,,,,77,3,8,,,2,,1,1,0,2,2,1,0.691,1.369,23,1,3,5,1,1,,,1,1,3
33,932,2,1,1,2,,2,2,1,1,,,,32,4,4,,,2,,1,2,0,1,1,1,0.502,0.976,36,1,3,5,2,,2,,2,1,2
34,932,1,2,1,2,,2,2,1,1,,,,73,3,4,,,2,,1,3,0,1,2,1,1.008,1.997,25,1,3,5,8,,,1,3,2,3
35,932,1,1,2,3,3,5,3,2,1,1,0,1,18,3,8,,,2,,1,3,0,1,1,1,0.65,2.535,36,1,2,5,1,2,,,1,7,1
36,932,1,4,1,3,1,1,,1,0,,,,80,3,5,,,2,,1,1,0,1,2,1,0.889,0.882,25,1,3,5,1,2,,,1,1,3
37,932,1,2,1,3,1,2,2,1,1,,,,63,2,2,,,2,,1,2,1,1,2,1,0.463,0.918,23,1,2,5,2,,1,,2,2,3
38,932,2,2,1,2,,4,2,1,1,0,2,0,35,4,6,,,2,,1,2,0,2,1,1,0.645,1.254,36,1,3,5,2,,1,,2,2,2
39,932,2,1,2,3,4,4,4,3,1,,,,18,2,98,8,,2,,1,3,0,1,1,1,0.65,2.535,36,2,,,,,,,,,2
40,932,1,2,1,2,,2,2,1,1,,,,85,1,4,,,2,,1,2,0,1,1,1,2.948,5.741,36,2,,,,,,,,,3
41,932,2,5,1,1,,3,1,0,1,1,0,1,34,3,3,,,2,,2,3,0,2,1,1,1.612,1.569,36,1,4,5,2,,1,,3,7,2
42,932,1,2,1,1,,2,2,1,1,,,,50,5,9,,2,2,,1,3,0,1,2,1,0.526,1.043,9,1,3,5,1,1,,,3,1,3
43,932,2,1,1,2,,1,,0,1,,,,24,5,1,,,2,,1,2,0,2,1,1,1.129,2.2,36,1,3,4,2,,2,,2,1,2
44,932,2,1,1,1,,2,2,1,1,,,,19,2,3,,,2,,2,3,0,1,1,1,0.953,1.856,36,1,1,3,2,,2,,2,7,2
45,932,2,1,1,1,,3,2,1,1,0,0,1,35,4,7,,,2,,2,2,0,2,1,1,0.943,1.837,42,2,,,,,,,,,2
46,932,1,2,1,2,,4,2,1,1,0,0,2,37,4,9,,1,2,,1,1,2,2,1,1,0.322,0.628,36,1,4,5,2,,2,,3,1,2
47,932,1,2,1,1,,4,2,1,1,0,2,0,44,3,8,,,2,,1,1,0,1,1,1,0.704,1.372,36,1,2,5,8,,,2,2,1,2
48,932,1,2,2,3,2,6,5,3,2,0,0,1,25,3,8,,,2,,1,3,0,2,1,1,1.101,4.288,36,1,2,5,2,,1,,2,2,3
49,932,1,2,2,3,2,4,2,1,1,0,2,0,35,2,6,,,2,,1,3,0,2,1,1,0.932,1.815,42,2,,,,,,,,,2
50,932,2,4,1,3,1,1,,1,0,,,,88,6,3,,,2,,1,1,0,1,1,1,1.275,1.242,42,1,4,5,1,1,,,1,1,3
51,932,1,1,2,2,,3,3,2,1,,,,33,5,98,1,,1,2,,3,9,1,1,1,0.734,2.858,36,1,4,5,2,,2,,2,2,2
52,932,2,1,1,1,,2,2,1,1,,,,32,5,9,,1,2,,1,2,0,2,1,2,0.753,1.403,17,1,3,3,8,,,8,8,1,1
53,932,2,1,1,1,,2,1,0,1,0,1,0,29,4,3,,,2,,2,9,0,2,1,2,1.103,1.027,17,2,,,,,,,,,2
54,932,1,5,1,1,,2,1,0,1,1,0,0,40,4,7,,,2,,2,2,0,2,1,1,0.943,0.918,42,1,4,5,2,,2,,2,0,2
55,932,1,2,1,1,,4,3,2,1,1,0,0,51,2,5,,,2,,2,3,0,1,1,2,1.459,5.433,17,1,3,4,2,,1,,2,2,2
56,932,1,4,1,3,1,4,3,1,2,0,0,1,72,1,1,,,2,,1,3,0,2,1,1,1.408,5.483,42,2,,,,,,,,,2
57,932,2,1,2,1,,3,2,1,1,1,0,0,19,3,5,,,2,,1,2,0,1,1,2,0.644,1.2,17,2,,,,,,,,,2
58,932,1,2,1,1,,2,2,1,1,,,,52,4,9,,2,2,,1,1,0,1,1,2,0.747,1.392,17,1,3,5,8,,,1,3,1,2
59,932,2,5,1,1,,1,,0,1,,,,47,3,4,,,2,,1,2,0,2,1,2,0.729,1.356,17,2,,,,,,,,,3
60,932,1,2,1,3,2,4,2,1,1,0,0,2,22,2,7,,,2,,1,1,0,2,1,2,1.119,2.084,17,2,,,,,,,,,3
61,932,1,1,1,1,,1,,0,1,,,,37,4,5,,,2,,1,1,0,2,1,2,0.638,1.188,17,1,3,5,1,1,,,1,1,3
62,932,2,1,1,1,,2,2,0,2,,,,22,3,6,,,2,,1,2,0,2,1,2,1.119,2.084,17,2,,,,,,,,,3
63,932,1,2,1,3,1,2,2,1,1,,,,72,2,99,9,,2,,1,8,0,2,1,2,0.571,1.063,17,1,4,5,2,,1,,2,8,2
64,932,1,2,1,1,,3,2,1,1,0,0,1,32,4,9,,2,2,,1,9,0,2,1,2,0.753,1.403,17,2,,,,,,,,,3
65,932,2,1,1,1,,2,2,0,2,,,,45,2,99,9,,1,9,,9,0,2,1,2,0.833,1.55,18,2,,,,,,,,,3
66,932,1,2,1,1,,2,2,1,1,,,,32,4,9,,2,2,,1,3,0,1,1,2,0.497,0.924,17,2,,,,,,,,,3
67,932,2,1,2,1,,2,1,0,1,0,1,0,32,3,3,,,2,,2,3,0,2,1,2,1.597,1.486,17,2,,,,,,,,,2
68,932,1,2,1,1,,4,3,1,2,1,0,0,43,5,8,,,2,,1,1,0,1,1,2,0.483,0.898,17,1,1,5,1,1,,,3,1,1
69,932,1,4,1,3,1,1,,0,1,,,,70,6,1,,,2,,1,1,0,2,1,2,0.571,1.063,17,1,3,2,8,,,1,1,1,2
70,932,1,2,1,3,3,6,4,3,1,2,0,0,38,3,99,1,,2,,1,3,0,2,1,2,0.924,1.72,17,1,3,4,0,,,2,3,1,3
71,932,1,2,2,2,,7,2,1,1,0,4,1,30,2,7,,,2,,1,1,0,2,1,2,1.091,2.031,17,2,,,,,,,,,2
72,932,2,2,1,3,2,2,2,1,1,,,,43,1,5,,,2,,1,3,0,2,1,2,2.434,4.531,18,2,,,,,,,,,2
73,932,1,2,1,1,,2,2,1,1,,,,34,1,3,,,2,,1,3,0,1,1,2,1.893,3.525,17,2,,,,,,,,,2
74,932,1,5,1,1,,1,,1,0,,,,61,4,9,,2,2,,1,1,0,1,1,2,0.91,0.847,17,1,2,5,8,,,1,3,1,2
75,932,1,2,1,3,1,2,2,1,1,,,,83,4,3,,,2,,1,1,0,2,1,2,0.679,1.264,17,1,2,5,2,,1,,2,2,2
76,932,1,2,1,9,,7,4,2,2,0,1,2,49,3,1,,,2,,1,9,0,1,2,2,0.649,2.642,17,1,3,5,2,,1,,3,1,2
