ID,WEEK,Z1,Z2,Z3,Z4,Z5,Z6,Z6A,Z6AA,Z6AB,Z6B,Z6C,Z6D,Z7,Z8,Z9,Z9A,Z9AA,Z10,Z10A,Z11,Z11A,Z12,SEX,METRO,REGION,HWEIGHT,PWEIGHT,STATE,WP1,WP2,WP3,WP4A,WP4B,WP4C,WP5,WP6
1,928,1,1,2,1,,5,3,1,2,2,0,0,18,3,99,1,,2,,1,1,0,2,2,1,0.6,2.219,25,3,5,1,1,,,,
2,928,1,2,1,1,,3,2,1,1,0,0,1,30,2,6,,,2,,1,1,0,1,2,3,0.343,0.769,51,2,3,1,1,,,,
3,928,1,2,1,1,,3,2,1,1,0,1,0,37,5,8,,,2,,1,2,0,2,2,3,0.341,0.765,13,3,5,2,,1,,,
4,928,1,1,1,1,,2,2,0,2,,,,32,4,6,,,2,,2,2,0,2,2,3,1.412,2.707,1,2,5,2,,2,,,
5,928,1,2,1,2,,2,2,1,1,,,,72,4,6,,,2,,1,1,0,1,1,2,0.734,1.46,27,3,5,1,1,,,,
6,928,1,2,1,1,,5,4,2,2,0,1,0,40,4,8,,,2,,1,3,0,1,1,1,0.47,1.518,25,3,5,1,2,,,,
7,928,2,1,1,2,,3,2,1,1,0,0,1,37,2,2,,,2,,1,1,0,1,1,3,1.105,1.836,5,1,1,2,,8,,,
8,928,2,2,1,1,,7,2,1,1,0,2,3,27,2,1,,,2,,2,1,1,2,1,3,1.713,2.846,48,1,4,2,,1,,,
9,928,2,2,1,1,,3,3,2,1,,,,48,5,9,,1,2,,1,2,1,2,1,3,0.248,0.469,24,3,5,2,,2,,,
10,928,1,1,1,3,1,2,2,0,2,,,,75,2,3,,,2,,1,9,0,2,1,2,1.214,2.413,27,3,5,8,,,,,9
11,928,1,2,1,2,,2,2,1,1,,,,69,3,2,,,2,,1,1,0,2,1,3,1.2,2.266,12,3,5,1,1,,,,
13,928,1,1,1,2,,2,2,1,1,,,,45,2,3,,,2,,1,3,0,1,1,1,0.717,1.159,25,4,5,2,,1,,,
14,928,2,2,1,1,,4,3,2,1,1,0,0,42,5,5,,,2,,1,3,0,1,1,1,0.47,1.518,33,3,5,2,,2,,,
15,928,1,5,1,3,1,2,2,1,1,,,,67,1,8,,,2,,1,3,0,1,1,4,3.573,6.756,6,4,5,3,,,1,1,
16,928,1,2,1,2,,4,3,2,1,1,0,0,51,3,6,,,2,,1,0,0,1,1,3,0.867,3.274,13,4,1,7,,,,,7
17,928,1,2,1,3,1,2,2,1,1,,,,52,1,6,,,2,,1,3,0,1,2,2,1.522,3.133,39,2,4,3,,,2,2,
18,928,1,2,1,1,,2,2,1,1,,,,45,3,8,,,2,,1,2,0,2,1,1,0.788,1.43,36,4,5,2,,1,,,
19,928,1,5,2,1,,3,3,2,1,,,,31,2,8,,,2,,1,2,0,1,1,3,0.602,2.272,13,3,3,3,,,1,7,
20,928,1,1,1,1,,3,1,0,1,0,0,2,29,4,5,,,2,,2,2,1,2,2,3,0.503,0.563,51,2,5,2,,2,,,
21,928,1,2,1,2,,4,2,1,1,0,1,1,36,5,7,,,2,,1,3,0,2,1,2,0.62,1.15,39,3,5,1,2,,,,
22,928,2,2,1,3,1,2,2,1,1,,,,69,2,7,,,2,,1,2,0,1,1,1,0.954,1.732,36,4,5,2,,1,,,
23,928,2,5,1,1,,1,,0,1,,,,39,5,3,,,2,,1,2,0,2,1,1,0.789,1.434,42,3,5,2,,2,,,
24,928,1,2,1,2,,3,2,1,1,1,0,0,30,6,4,,,2,,1,1,0,2,2,3,0.654,1.255,21,1,5,3,,,1,8,
25,928,1,4,1,3,1,1,,1,0,,,,77,2,4,,,2,,1,1,0,1,2,3,0.723,0.693,1,3,5,1,1,,,,
26,928,1,2,1,1,,6,2,1,1,0,1,3,27,3,99,1,,2,,1,1,0,2,1,3,0.868,1.507,47,4,5,1,1,,,,
27,928,1,2,1,1,,2,2,1,1,,,,35,4,7,,,2,,1,1,1,2,1,3,0.299,0.565,24,3,5,3,,,1,1,
28,928,2,2,1,1,,6,2,1,1,0,3,1,40,3,8,,,2,,1,1,1,1,1,4,0.537,1.015,6,4,5,3,,,1,2,
29,928,1,3,1,1,,1,,0,1,,,,47,2,6,,,2,,1,2,0,2,1,4,0.921,1.742,6,3,1,3,,,1,1,
30,928,1,2,1,3,1,2,2,1,1,,,,78,4,6,,,2,,1,1,0,1,1,4,0.745,1.679,4,4,5,1,2,,,,
31,928,1,2,1,3,4,2,2,1,1,,,,40,2,8,,,2,,1,3,0,2,2,3,0.586,1.124,1,1,5,3,,,1,2,
