ID,WEEK,Z1,Z2,Z3,Z4,Z5,Z6,Z6A,Z6AA,Z6AB,Z6B,Z6C,Z6D,Z7,Z8,Z9,Z9A,Z9AA,Z10,Z10A,Z11,Z11A,Z12,SEX,METRO,REGION,HWEIGHT,PWEIGHT,STATE,AW1,AW2,AW3,AW4,AW5A,AW5B,AW6,AW7,AW8,AW9A,AW9B,AW9C,AW19,AW20,AW21
1,838,1,2,1,3,4,3,2,1,1,1,0,0,60,3,99,9,,2,,2,2,1,1,1,2,0.521,1.001,17,1,4,5,2,,1,,2,2,1,1,1,2,,3
2,838,1,2,1,3,1,3,3,1,2,,,,70,2,7,,,2,,1,1,0,1,1,3,0.863,1.658,12,1,4,5,1,1,,,1,1,1,3,1,1,,4
3,838,1,2,1,3,1,2,2,1,1,,,,65,2,5,,,2,,1,3,0,1,1,2,0.753,1.446,26,1,3,4,1,2,,,1,1,2,2,2,3,2,4
4,838,2,1,1,1,,4,2,1,1,0,2,0,29,1,3,,,1,9,,8,0,2,1,1,1.748,3.561,42,2,,,,,,,,,,,,8,2,8
5,838,1,2,1,1,,3,2,1,1,0,1,0,36,2,7,,,2,,1,1,0,2,2,3,0.495,1.107,51,1,3,5,1,1,,,3,1,2,2,2,1,,3
6,838,2,2,1,3,3,3,2,1,1,0,0,1,29,2,4,,,2,,1,2,0,2,1,3,0.947,1.819,13,2,,,,,,,,,,,,2,,3
7,838,1,1,1,3,3,2,2,0,2,,,,21,3,4,,,2,,1,2,0,2,1,3,1.55,2.977,13,1,2,3,8,,,7,8,2,1,8,2,2,,3
8,838,1,2,1,2,,2,2,1,1,,,,99,4,99,9,,2,,1,1,1,2,1,2,0.287,0.551,18,1,1,5,1,1,,,1,1,2,3,1,1,,4
9,838,1,2,1,3,4,2,2,1,1,,,,28,4,7,,,2,,1,1,0,1,2,3,0.596,1.335,37,2,,,,,,,,,,,,1,,4
10,838,2,1,1,2,,1,,1,0,,,,41,4,5,,,2,,1,3,0,1,1,3,0.598,0.573,24,1,4,5,2,,1,,2,2,3,2,2,3,1,1
11,838,1,2,1,3,2,4,3,1,2,0,0,1,35,6,5,,,2,,2,2,0,2,1,1,0.921,3.749,42,1,3,5,2,,1,,2,2,3,2,3,2,,2
12,838,1,4,1,3,1,1,,0,1,,,,72,1,1,,,2,,1,2,0,2,1,1,1.677,3.415,42,1,3,5,9,,,9,9,7,9,1,2,2,,5
13,838,2,1,2,2,,2,2,1,1,,,,18,1,3,,,2,,1,1,0,2,1,2,1.353,2.597,39,2,,,,,,,,,,,,1,,2
14,838,1,1,2,1,,4,4,3,1,,,,24,3,9,,1,2,,1,2,2,1,1,1,0.323,1.317,34,1,3,5,2,,1,,2,2,2,1,2,2,,2
15,838,1,2,1,3,5,4,2,1,1,0,1,1,50,3,2,,,2,,1,3,1,1,1,3,0.374,0.718,12,2,,,,,,,,,,,,3,7,5
16,838,1,2,1,1,,3,2,1,1,0,1,0,42,5,9,,2,2,,1,2,0,1,1,3,0.598,1.148,51,1,4,4,2,,2,,2,2,3,1,3,2,,3
17,838,1,4,1,3,1,1,,0,1,,,,79,2,3,,,2,,1,1,0,2,1,3,1.247,2.394,12,1,3,5,1,1,,,1,1,8,8,9,1,,4
18,838,9,9,1,9,,9,,,,,,,99,4,99,9,,9,,9,2,0,1,1,3,0.574,0.55,12,9,,,,,,,,,,,,2,,7
19,838,2,2,1,2,,4,2,1,1,0,0,2,41,5,3,,,2,,1,3,0,1,1,1,0.568,1.157,42,1,4,5,2,,1,,2,2,1,1,2,3,1,2
20,838,1,2,1,2,,4,2,1,1,0,1,1,33,2,7,,,2,,1,1,0,2,1,3,0.947,1.819,24,1,3,5,1,2,,,3,1,3,1,3,1,,3
21,838,1,1,2,1,,5,3,2,1,2,0,0,21,3,7,,,2,,1,3,0,1,1,1,0.647,2.635,36,1,3,5,2,,1,,3,7,3,1,3,3,2,4
22,838,1,2,1,1,,2,2,1,1,,,,52,2,9,,2,2,,1,3,0,1,2,2,0.426,0.966,39,2,,,,,,,,,,,,3,1,3
23,838,1,2,2,2,,4,2,1,1,1,1,0,41,2,4,,,2,,1,1,0,2,1,1,0.648,1.319,42,1,3,5,1,2,,,3,1,2,2,2,1,,3
24,838,1,4,1,3,1,1,,0,1,,,,72,2,3,,,2,,1,1,0,2,2,1,0.457,0.898,42,1,3,5,1,1,,,1,1,3,1,2,1,,5
25,838,1,2,1,3,1,2,2,1,1,,,,69,2,7,,,2,,1,1,0,2,1,3,0.669,1.287,13,1,4,5,1,2,,,1,1,2,2,3,1,,4
26,838,2,2,1,1,,4,4,2,2,,,,33,6,1,,,2,,2,9,2,1,1,1,0.67,2.73,36,2,,,,,,,,,,,,9,1,3
27,838,1,4,1,3,2,1,,0,1,,,,70,3,3,,,2,,1,2,0,2,1,1,1.295,2.094,9,1,4,3,2,,1,,2,2,1,1,1,2,,2
28,838,1,2,1,1,,4,2,1,1,1,1,0,38,2,6,,,2,,1,2,0,1,2,2,0.411,0.932,39,2,,,,,,,,,,,,2,,2
29,838,1,2,1,1,,4,2,1,1,0,1,1,28,2,4,,,2,,1,1,0,1,2,3,0.72,1.612,37,1,1,3,8,,,1,1,7,2,2,2,1,,5
30,838,1,2,1,1,,3,2,1,1,0,0,1,40,5,8,,,2,,1,3,0,1,1,1,0.568,1.157,42,1,4,5,2,,1,,2,1,2,1,2,3,2,3
31,838,1,1,2,1,,2,2,0,2,,,,34,2,3,,,2,,1,3,0,2,1,2,0.827,1.587,39,1,3,5,1,1,,,1,1,3,2,2,3,2,3
32,838,1,2,1,2,,4,3,2,1,1,0,0,52,1,6,,,2,,1,2,0,2,1,3,1.692,3.251,13,1,3,5,2,,1,,2,7,4,1,3,2,,2
33,838,1,2,1,1,,5,2,1,1,1,1,1,42,4,7,,,2,,1,1,0,1,1,1,0.568,1.157,36,1,3,5,2,,2,,2,1,2,2,2,1,,3
34,838,1,5,1,1,,3,1,0,1,1,1,0,31,2,4,,,2,,1,1,0,2,1,2,0.827,0.794,39,1,3,5,2,,1,,2,1,3,2,2,1,,3
35,838,1,1,2,1,,2,2,0,2,,,,21,6,1,,,2,,1,3,0,2,2,1,0.85,1.833,23,1,4,5,1,1,,,1,1,3,3,2,3,2,1
36,838,1,1,2,2,,2,2,0,2,,,,18,2,4,,,2,,1,1,0,2,1,1,1.474,3.002,42,1,3,5,2,,1,,2,7,2,1,2,1,,2
37,838,1,1,1,1,,3,1,1,0,0,2,0,36,3,6,,,2,,1,3,0,1,2,3,0.524,0.587,24,2,,,,,,,,,,,,3,1,2
38,838,1,2,1,2,,5,3,2,1,1,1,0,41,2,8,,,2,,1,3,0,2,1,3,0.682,1.309,37,1,4,5,1,1,,,1,1,2,3,2,3,2,3
39,838,2,2,1,1,,2,2,1,1,,,,27,4,2,,,2,,5,2,0,1,1,1,1.588,2.567,25,2,,,,,,,,,,,,2,,2
40,838,1,2,1,3,2,3,2,1,1,0,1,0,40,4,9,,1,2,,1,2,0,2,1,3,0.564,1.083,12,2,,,,,,,,,,,,2,,2
41,838,1,1,2,3,3,4,3,2,1,1,0,0,18,2,98,8,,2,,1,3,0,1,1,2,0.594,2.281,39,2,,,,,,,,,,,,3,1,2
42,838,1,2,1,3,1,2,2,1,1,,,,71,2,4,,,2,,1,1,2,2,1,2,0.292,0.561,18,2,,,,,,,,,,,,1,,3
43,838,2,2,1,2,,3,2,1,1,1,0,0,52,2,1,,,2,,2,2,0,2,1,3,0.913,1.754,13,2,,,,,,,,,,,,2,,2
44,838,2,4,1,3,4,2,1,0,1,1,0,0,43,2,1,,,2,,2,2,0,2,1,3,0.968,0.929,37,2,,,,,,,,,,,,2,,5
45,838,1,2,1,1,,4,2,1,1,1,1,0,33,2,5,,,2,,2,2,0,2,1,3,1.345,2.584,12,1,3,5,2,,1,,2,8,3,2,3,2,,5
46,838,1,1,1,3,1,1,,1,0,,,,64,2,8,,,2,,1,3,0,1,1,3,0.841,0.808,51,2,,,,,,,,,,,,3,2,4
47,838,1,2,1,1,,2,2,1,1,,,,48,2,99,9,,2,,1,2,0,1,1,1,1.446,2.339,9,1,3,5,2,,2,,3,2,1,1,1,2,,3
48,838,1,2,1,3,1,2,2,1,1,,,,62,2,4,,,2,,1,1,0,1,1,1,0.799,1.628,42,1,3,5,1,2,,,3,1,3,4,1,1,,2
49,838,1,2,1,1,,6,2,1,1,1,2,1,31,3,8,,,2,,2,2,1,2,1,2,0.587,1.127,26,1,2,5,2,,1,,2,2,3,1,1,2,,3
50,838,2,2,2,2,,3,3,1,2,,,,46,2,6,,,2,,1,2,0,2,2,1,0.439,1.722,36,2,,,,,,,,,,,,2,,2
