ID,WEEK,Z1,Z2,Z3,Z4,Z5,Z6,Z6A,Z6AA,Z6AB,Z6B,Z6C,Z6D,Z7,Z8,Z9,Z9A,Z9AA,Z10,Z10A,Z11,Z11A,Z12,SEX,METRO,REGION,HWEIGHT,PWEIGHT,STATE,AW1,AW2,AW3,AW4,AW5A,AW5B,AW6,AW7,AW8,AW9,AW10,AW11,AW12A,AW12B,AW12C,AW12D,AW13,AW14,AW15,AW16A,AW16B,AW17,AW18,AW19,AW20,AW21
1,837,1,2,1,2,,2,2,1,1,,,,69,4,6,,,2,,1,1,0,1,1,3,0.919,1.745,48,1,4,5,1,1,,,1,1,2,1,2,3,2,1,1,2,1,7,,,3,3,1,,3
2,837,1,5,1,1,,4,1,0,1,0,2,1,36,3,6,,,2,,1,1,0,2,2,2,1.047,1.119,27,1,3,5,1,1,,,1,1,3,2,,3,3,3,3,3,3,8,,,3,3,1,,3
3,837,1,1,1,1,,1,,0,1,,,,61,3,6,,,2,,1,2,0,2,1,2,0.508,1.056,55,1,3,5,2,,1,,2,2,3,2,,1,2,3,1,3,2,7,,,3,3,2,,2
4,837,1,2,1,1,,6,2,1,1,1,2,1,37,2,6,,,2,,1,3,0,2,2,2,1.047,2.238,27,1,4,5,2,,1,,2,2,3,2,,1,2,3,1,2,2,7,,,3,3,3,1,2
5,837,1,2,1,2,,2,2,1,1,,,,60,2,3,,,2,,1,3,0,2,2,2,0.726,1.552,29,1,2,5,8,,,1,8,1,3,8,,1,3,1,3,3,2,7,,,3,3,3,2,4
6,837,1,4,1,2,,3,3,2,1,,,,73,4,2,,,2,,1,1,1,2,1,1,0.329,0.601,42,1,3,5,1,2,,,3,1,3,2,,1,2,2,1,3,2,7,,,3,3,1,,4
7,837,1,5,1,1,,2,1,0,1,1,0,0,37,2,4,,,2,,1,2,0,2,1,2,0.733,0.762,55,1,4,5,2,,2,,2,2,3,2,,1,2,1,1,2,2,1,,2,3,3,2,,2
8,837,1,2,1,1,,3,3,2,1,,,,45,2,7,,,2,,1,3,0,1,2,2,0.491,1.865,26,1,4,5,1,1,,,1,1,3,2,,1,3,3,2,3,2,8,,,3,3,3,7,3
9,837,1,2,1,2,,5,2,1,1,0,1,2,32,2,7,,,2,,1,3,0,2,1,2,2.051,3.41,29,1,4,5,8,,,2,2,1,2,1,2,1,2,3,1,3,2,1,,2,3,3,3,2,3
10,837,1,2,1,3,1,2,2,1,1,,,,55,2,4,,,2,,1,2,0,2,1,2,0.508,1.056,26,1,4,5,2,,1,,2,1,3,2,,1,3,1,3,2,1,1,,2,3,3,2,,1
11,837,2,1,2,2,,2,2,2,0,,,,20,3,8,,,2,,1,2,0,1,1,3,0.886,1.676,37,1,4,4,2,,1,,2,7,3,1,2,1,2,3,1,3,2,1,,2,3,3,2,,1
12,837,1,2,1,3,1,2,2,1,1,,,,75,2,2,,,2,,2,2,0,2,1,3,0.873,1.812,1,1,4,5,9,,,9,9,2,3,2,,8,3,1,3,2,1,1,,1,8,8,2,,8
13,837,1,1,2,2,,2,2,2,0,,,,32,5,7,,,2,,2,3,2,1,1,1,0.493,0.899,23,2,,,,,,,,,,,,,,,,2,,,,,,,3,7,3
14,837,1,5,1,2,,1,,1,0,,,,52,2,1,,,2,,2,3,0,1,1,2,0.786,0.817,26,1,3,5,2,,2,,2,2,3,2,,1,2,1,2,2,1,7,,,3,2,3,1,2
15,837,2,1,1,3,3,1,,0,1,,,,29,4,1,,,2,,1,3,0,2,1,2,0.545,1.132,18,1,2,4,8,,,8,8,7,2,2,,1,2,1,1,1,1,7,,,3,3,3,2,3
16,837,1,2,1,1,,4,2,1,1,2,0,0,37,2,6,,,2,,1,2,0,1,2,3,0.609,1.212,37,1,3,5,1,2,,,1,1,2,2,,1,3,1,1,2,2,8,,,3,3,2,,4
17,837,1,2,1,3,2,3,2,1,1,1,0,0,28,2,5,,,2,,1,3,0,2,2,3,0.646,1.285,24,1,2,5,8,,,2,3,7,3,2,,1,2,1,2,2,3,7,,,3,3,3,1,2
18,837,2,1,1,3,3,1,,1,0,,,,29,4,6,,,2,,1,1,0,1,1,2,0.552,0.574,39,8,,,,,,,,,,,,,,,,,,,,,,,1,,4
19,837,2,5,1,1,,2,2,1,1,,,,30,2,5,,,2,,1,1,0,1,1,2,0.77,1.601,39,2,,,,,,,,,,,,,,,,,,,,,,,1,,2
20,837,1,2,1,1,,5,4,3,1,1,0,0,43,2,8,,,2,,1,2,0,2,1,1,1.144,2.09,34,1,3,5,2,,1,,2,1,2,2,,1,2,3,3,2,3,1,,2,3,3,2,,3
21,837,1,2,2,1,,3,2,1,1,1,0,0,36,2,5,,,2,,1,1,0,2,2,3,0.623,1.241,37,1,3,5,1,1,,,1,1,3,2,,3,3,3,3,1,3,8,,,3,3,1,,3
22,837,2,2,1,1,,3,2,1,1,0,0,1,27,5,8,,,2,,2,1,1,1,1,1,0.653,1.192,36,1,3,5,2,,2,,2,2,3,2,,2,3,1,1,2,2,1,,2,3,3,1,,2
23,837,1,2,1,2,,3,2,1,1,0,0,1,34,4,6,,,2,,1,2,0,2,1,1,0.85,1.552,36,1,3,5,2,,1,,2,2,3,1,2,1,2,1,1,2,3,8,,,3,3,2,,4
24,837,2,5,1,3,4,2,2,1,1,,,,42,2,1,,,2,,1,2,0,1,2,1,0.441,0.97,42,2,,,,,,,,,,,,,,,,,,,,,,,2,,1
25,837,1,2,1,2,,4,2,1,1,2,0,0,41,3,7,,,2,,1,1,0,2,1,2,0.733,1.525,26,2,,,,,,,,,,,,,,,,,,,,,,,1,,3
